label,manifest
התחרות גדולה - הבטליון הראשון נורטמפטרנשיר נגד מכבי-אבשלום,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111075/manifest
"התחרות גדולה בכדור רגל - המכבי חשמנאי ירושלים נגד מכבי ת""א.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111077/manifest
"הליגה הארצית בסבוב הראשון - נבחרת המעופפים נגד מכבי א ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111085/manifest
התחרות גדולה - נורטמפטננשיר 48 נגד מכבי-אבשלום,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111088/manifest
"התחרות גומלין גדולה בכדור רגל - הפועל א' חיפה נגד מכבי א' ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111090/manifest
התחרות מיוחד על גביע המכבי,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111091/manifest
"התחרות גומלין גדולה - נורטהמטונשיר נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111094/manifest
התחרות בכדור-רגל - המעופפים נגד מכבי חשמונאי,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111100/manifest
"פתיחת העונה, התחרות גדולה בכדור רגל - נורטהמטונשיר נגד מכבי א' ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111101/manifest
"התחרות בכדור-רגל - משטרה בריטית נגד מכבי א' ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111104/manifest
"התחרות גומלין בכדור-רגל - N.M.A.C המפקדה הראשית נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111107/manifest
"התחרות גדולה בכדור רגל - N.M.A.C נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111111/manifest
"התחרות בכדור-רגל - מכבי חשמונאי, ירושלים - נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111112/manifest
ההתחרות הראשונה בכדור רגל - הפועל ב' חיפה וקבוצת המכבי חיפה,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111113/manifest
התחרות בכדור-רגל - מכבי חשמונאי ירושלים נגד מכבי א',http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111117/manifest
"התחרות גדול בכדור-רגל - הפועל א' חיפה נגד מכבי א' ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111119/manifest
"התחרות בכדור-רגל - נבחרת ירושלים נגד נבחרת תל-אביב ופ""ת",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111130/manifest
"התחרות גדולה בכדור רגל - נבחרת מכבי-אבשלום, מכבי-חשמונאי ירושלים נגד מכבי א' ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111133/manifest
"התחרות בכדוררגל - מכבי אבשלום, פתח תקוה נגד מכבי א' ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111134/manifest
4 התחרויות מענינות בכדור-רגל - מלחמת הששה,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111139/manifest
התחרות גדולה בכדור-רגל - הפועל א' חיפה נגד מכבי תל-אביב,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111140/manifest
"התחרות ידידותית בכדור-רגל - הפועל תל-אביב, מכבי א' תל-אביב",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111152/manifest
"מכבי אבשלום, פתח תקוה נגד מכבי תל-אביב",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111153/manifest
התחרות גדולה בכדור-רגל - נבחרי העיר ירושלים נגד מכבי א' תל-אביב,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111155/manifest
"התחרות בכדור רגל על גביע המכבי - מכבי-אבשלום, פתח תקוה נגד מכבי א' ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111160/manifest
"שתי התחרויות בכדור רגל - מכבי-חשמונאי, ירושלים נגד מכבי א' ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111162/manifest
"התחרות בכדור-רגל - האלחוט נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111170/manifest
"התחרות גדולה בכדור-רגל - המכוניות המשורינות נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111173/manifest
התחרות גדולה בכדור-רגל - פ. ג. ה. נגד מכבי א',http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111175/manifest
"התחרות בכדור-רגל - הפועל חיפה נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111177/manifest
"משחקי הבכורה הא""י - הפועל א' תל-אביב נגד מכבי א' תל-אביב",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111179/manifest
התחרות ראשונה בכדור רגל - בין הפועל א' חיפה ובין מכבי א' חיפה,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111183/manifest
"ההתחרות הראשונה של הליגה הא""י בכדור רגל - הפועל א' חיפה נגד מכבי א' חיפה",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111188/manifest
"התחרות גדולה בכדור רגל של הליגה הא""י - מכבי-אבשלום א' פתח-תקוה נגד מכבי א' חיפה",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111189/manifest
"התחרות גומלין בכדור-רגל - מכבי אבשלום, פתח תקוה נגד מכבי א' ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111197/manifest
"התחרות בכדור-רגל - הפועל תל-אביב נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111198/manifest
"התחרות בכדור-רגל - המכוניות המשורינות, רמלה, נגד מכבי א' ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111199/manifest
שתי התחרויות גדולו בכדור-רגל -מכבי נס-ציונה א' נגד מכבי א' חיפה - הפועל ב' חיפה נגד משטרת חיפה,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111202/manifest
"שלש {שלוש} התחרויות גדולות בכדור רגל - הסבוב הראשון על הגביע הא""י",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111204/manifest
התחרות ידידותית מענינת בכדור רגל - .R .A .S .C נגד חשמונאי.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111206/manifest
"התחרות גדולה בכדור רגל של הליגה הא""י - מכבי אבשלום, פתח-תקוה נגד מכבי א' חיפה",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111211/manifest
"התחרות גדולה בכדור רגל של הליגה הא""י א' - המשטרה הא""י , ירושלים נגד מכבי א' חיפה",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111212/manifest
"משחקי הבכורה הא""י - חשמונאי ירושלים נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111213/manifest
"התחרות בכדור-רגל - נבחרת גדוד המידלאסקס נגד מכבי א' ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111214/manifest
"התחרות על הליגה הא""י - המשטרה הבריטית נגד מכבי א'",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111217/manifest
"התחרות לליגה, מחלקה א' - מכבי חיפה נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111218/manifest
"2 התחרויות גדולות בכדור רגל - הפועל א' ירושלים נגד הפועל א' תל-אביב - MIDDLESSX REGIMENT נגד מכבי א' ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111219/manifest
התחרות בכדור רגל - קינגם אוון נגד מכבי א' חיפה,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111221/manifest
"התחרות יוצאת מן הכלל - פולניה נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111224/manifest
"התחרות גדולה בכדור רגל של הליגה הא""י א' - מכבי-חשמונאי, ירושלים נגד מכבי א' חיפה",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111226/manifest
"התחרות גדולה בכדור רגל של ליגה הא""י א' - הפועל א' תל-אביב נגד מכבי א' חיפה",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111227/manifest
התחרות מענינת בכדור רגל - ROYAL SCOTS FUSILIERS א' נגד מכבי א' חיפה,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111231/manifest
"התחרות גדולה בכדור-רגל .P .G .H נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111232/manifest
"התחרות גדולה בכדור רגל של הליגה הא""י א' - מכבי-חשמונאי א' ירושלים נגד מכבי א' חיפה",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111233/manifest
"התחרות בכדור רגל - מכבי אבשלום, פתח-תקוה נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111238/manifest
"התחרות בכדורגל - המשטרה הבריטית, ירושלים נגד מכבי א' תל-אביב",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111244/manifest
