label,manifest
אלבום 78: ארבע ליתוגרפיות של הר הבית.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002716507/manifest
אלבום 79: דפים מאלבום ארץ ישראל ועבר הירדן.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002716508/manifest
"אלבום 84: אלבום המשלחת הרוחנית הרוסית, ירושלים.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002760535/manifest
אלבום 10: אלבום זנגקי.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002762017/manifest
אלבום 55: אלבום קבר דוד מדרום.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002762029/manifest
אלבום 67: תצלומי החברה לחקר ארץ ישראל ושל פרנק מיסון גוד.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002812472/manifest
"אלבום 85: יומן מסע בסוריה, ארץ ישראל ומצרים.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003451589/manifest
אלבום 80: תצלומי החברה הפרבוסלבית הקיסרית בארץ ישראל.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003451604/manifest
אלבום 81: אלבום לוטננט בראון ממלחמת העולם הראשונה.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003739126/manifest
אלבום 86: מסע צליינים גרמנים לארץ הקודש.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003749738/manifest
אלבום 87: אלבום הרולד ד. פירסון.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003752700/manifest
אלבום 88: מלחמת העולם הראשונה בארץ ישראל.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003753453/manifest
אלבום 89: המזרח.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003899731/manifest
אלבום 90: מסע אל המזרח התיכון בשנת 1924.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003901323/manifest
אלבום 91: תצלומי ברגהיים מארץ ישראל ותצלומים מסוריה.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003901524/manifest
