description,label,title,publisher,base,the_creator,creation_date,type,format,language,sysnum,related,attribution,subject,alternative_title
ארץ ישראל,"הכשרת מפרץ חיפה בע""מ, חיפה, ארץ ישראל [אלבום תצלומים].","הכשרת מפרץ חיפה בע""מ, חיפה, ארץ ישראל [אלבום תצלומים].",1926,NNL01,,1926,ARCHIVE,34 Photographs : b&w ; 19 X 26 cm..,heb;eng,003426875,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003426875,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Haifa Bay Development Company Ltd. Haifa, Palestine [Album of photographs]""]"
ארץ ישראל,"אסף צלומים מן הרעש בארץ ישראל בשנת תרפ""ז [אלבום תצלומים].","אסף צלומים מן הרעש בארץ ישראל בשנת תרפ""ז [אלבום תצלומים].",1927,NNL01,,1927,ARCHIVE,21 Photographs : b&w..,heb,003427883,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003427883,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""נזקי רעידת האדמה בארץ ישראל בשנת 1927 [אלבום תצלומים]"", ""Damages of the Earthquake in Palestine, 1927 [Album of photographs].""]"
ארץ ישראל,"אסף צלומים מן הרעש בארץ ישראל בשנת תרפ""ז [אלבום תצלומים].","אסף צלומים מן הרעש בארץ ישראל בשנת תרפ""ז [אלבום תצלומים].",1927,NNL01,,1927,ARCHIVE,32 Photographs : b&w..,heb,003427954,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003427954,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""נזקי רעידת האדמה בארץ ישראל בשנת 1927 [אלבום תצלומים]"", ""Damages of the Earthquake in Palestine, 1927 [Album of photographs].""]"
ארץ ישראל,תצלומי האוניברסיטה העברית מאת הלמר לרסקי [אלבום תצלומים].,תצלומי האוניברסיטה העברית מאת הלמר לרסקי [אלבום תצלומים].,ca. 1931,NNL01,"לרסקי, הלמר, 1871-1956 1871-1956 צלם 1871-1956 1871-1956",ca. 1931,ARCHIVE,23 Photographs : b&w..,,003849642,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003849642,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Helmar Lerski Photographs of the Hebrew University of Jerusalem, Mt. Scopus. [Album of photographs].""]"
ארץ ישראל,"מפעלי תרבות בחנכה תרצ""ג : תערוכה עברית [אלבום תצלומים].","מפעלי תרבות בחנכה תרצ""ג : תערוכה עברית [אלבום תצלומים].",1932,NNL01,,1932,ARCHIVE,8 Photographs : b&w ; 124 X 175 mm..,heb,003489984,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003489984,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""[Exhibition of Hebrew Cultural Enterprises, Tel Aviv 1932] [Album of photographs].""]"
ארץ ישראל,חדרי ביתו של מקס איטינגון בירושלים [אלבום תצלומים].,חדרי ביתו של מקס איטינגון בירושלים [אלבום תצלומים].,ca. 1933-1943,NNL01,"גידל, נחום טים, 1909-1996 1909-1996 צלם 1909-1996 1909-1996 1909-1996 1909-1996 1909-1996 1909-1996 1909-1996",ca. 1933-1943,ARCHIVE,19 Photographs : b&w ..,heb,003490185,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003490185,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""[Max Eitingon's House in Jerusalem]. [Album of photographs].""]"
ארץ ישראל,בית הספר של החברה החינוכית בירושלים [אלבום תצלומים].,בית הספר של החברה החינוכית בירושלים [אלבום תצלומים].,ca. 1935,NNL01,,ca. 1935,ARCHIVE,5 Photographs : b&w ; 170 X 235 mm..,heb,003924191,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003924191,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Deborah Kallen School in Jerusalem [Album of photographs].""]"
ארץ ישראל,תצלומים מחיי השומרונים בשכם [אלבום תצלומים].,תצלומים מחיי השומרונים בשכם [אלבום תצלומים].,ca. 1900-1910,NNL01,,ca. 1900-1910,ARCHIVE,43 Photographs : b&w ; 235 X 235 mm..,eng,003786689,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003786689,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""The Samaritan Passover on Mt. Gerizim [Album of photographs].""]"
ארץ ישראל,"בית ספר למלאכה על שם לודויג טיץ, יגור [אלבום תצלומים].","בית ספר למלאכה על שם לודויג טיץ, יגור [אלבום תצלומים].",1936-1937,NNL01,,1936-1937,ARCHIVE,40 Photographs : b&w ; 13 X 18 cm..,ger;heb,003427410,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003427410,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Ludwig Tietz Lehrwerkstätten, Jagur [Album of photographs]."", ""Ludwig Tietz Vocational School. Yagur[Album of photographs].""]"
ארץ ישראל,המעבדות לחקר הסרטן באוניברסיטה העברית בירושלים [אלבום תצלומים].,המעבדות לחקר הסרטן באוניברסיטה העברית בירושלים [אלבום תצלומים].,1936,NNL01,"ברנהיים, אלפרד, 1885-1974 1885-1974 צלם 1885-1974 1885-1974 1885- 1885-1974",1936,ARCHIVE,21 Photographs : b&w..,heb,003567711,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003567711,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""The Hebrew University of Jerusalem Cancer Research Laboratories [Album of photographs].""]"
ארץ ישראל,דגם הר הזיתים 1936 [אלבום תצלומים].,דגם הר הזיתים 1936 [אלבום תצלומים].,1936,NNL01,"סבא, שלום, 1897-1975 1897-1975 צלם 1897-1975 1897-1975 1897-1975",1936,ARCHIVE,43 Photographs : b&w..,ger,003429060,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003429060,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Ölberg Modell 1936 [Album of photographs]."", ""Mount of Olives Model 1936 [Album of photographs].""]"
