description,label,title,publisher,base,the_creator,creation_date,type,format,language,sysnum,related,attribution,subject,alternative_title
Lod (Israel) -- Photographs,Lydda Airport back in action.,Lydda Airport back in action.,,NNL01,,,image,"1 photograph : b&w, ; 93 X 135 mm..",,003570166,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003570166,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Lod (Israel) -- Photographs""]","[""[נמל התעופה בלוד עם שובו לפעילות בתום קרבות מלחמת העצמאות].""]"
Jerusalem (Israel) -- Photographs,"The Supreme Court at its opening session in Jerusalem, September 1948. -[ישיבת הפתיחה של בית המשפט העליון בירושלים, אלול תש""ח]. [תמונה]","The Supreme Court at its opening session in Jerusalem, September 1948. -[ישיבת הפתיחה של בית המשפט העליון בירושלים, אלול תש""ח]. [תמונה]",,NNL01,,,image,"1 photograph : b&w, ; 90 X 122 mm..",,003558579,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003558579,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Jerusalem (Israel) -- Photographs""]","[""[ישיבת הפתיחה של בית המשפט העליון בירושלים, אלול תש\""ח].""]"
הגימנסיה העברית (ירושלים),"הגמנסיה העברית, ירושלים: מחזור כ""ח, ה'תש""ח.","הגמנסיה העברית, ירושלים: מחזור כ""ח, ה'תש""ח.",,NNL01,,,image,"1 photograph : b&w, ; 188 X 264 mm..",,003545721,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003545721,"[""אוסף התצלומים, הספרייה הלאומית""]","[""הגימנסיה העברית (ירושלים)""]","[""[Teachers and graduates of the Hebrew Gymnasium in Jerusalem, 1948]""]"
Tel Aviv-Yafo (Israel) -- Photographs,"טקס הכרזת המדינה, ה' אייר תש""ח. -[Declaration of State of Israel, 14.5.1948] [picture]","טקס הכרזת המדינה, ה' אייר תש""ח. -[Declaration of State of Israel, 14.5.1948] [picture]",,NNL01,,,image,"1 photograph : b&w, ; 110 X 135 mm..",,003574352,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003574352,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Tel Aviv-Yafo (Israel) -- Photographs""]","[""[Declaration of State of Israel, 14.5.1948]""]"
Jerusalem (Israel) -- Photographs,טקס הפתיחה של כביש הגבורה.,טקס הפתיחה של כביש הגבורה.,,NNL01,,,image,"1 photograph : b&w, ; 94X112 mm..",,003557525,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003557525,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Jerusalem (Israel) -- Photographs""]","[""[Opening ceremony of HaGvurah Road, December 1948].""]"
Haifa (Israel) -- Photographs; She'ar Yeshuv (Israel) -- Photographs,ילדי שאר ישוב עם אמותיהם. -[She'ar Yashuv: After work mothers meet their children.] [picture],ילדי שאר ישוב עם אמותיהם. -[She'ar Yashuv: After work mothers meet their children.] [picture],,NNL01,,,image,"1 photograph : b&w, ; 123 X 145 mm..",,003573680,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003573680,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Haifa (Israel) -- Photographs; She'ar Yeshuv (Israel) -- Photographs""]","[""[She'ar Yashuv: After work mothers meet their children.]""]"
Israel -- Photographs,[נוסעים ליד אוטובוס משוריין בימי מלחמת העצמאות].,[נוסעים ליד אוטובוס משוריין בימי מלחמת העצמאות].,,NNL01,,,image,"1 photograph : b&w, ; 83 X 83 mm..",,003569446,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003569446,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Israel -- Photographs""]","[""[Passengers next to an armored bus during the War of Independence.]""]"
Ginnegar (Israel),[חברות קבוץ גניגר מתאמנות בנשיאת פצוע],[חברות קבוץ גניגר מתאמנות בנשיאת פצוע],,NNL01,"קלוגר, זולטן, 1896-1977 צלם",,image,"1 photograph : b&w, ; 130 X 186 mm..",,002723327,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002723327,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Ginnegar (Israel)""]","[""Members of Kibbutz Ginegar during a Military Exercise""]"
Jerusalem (Israel) -- Photographs,Opening of Israel's First Parliament: Israeli Arab members of the Assembly.,Opening of Israel's First Parliament: Israeli Arab members of the Assembly.,,NNL01,,,image,"1 photograph : b&w, ; 94 X 134 mm..",,003569623,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003569623,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Jerusalem (Israel) -- Photographs""]","[""[חברי האסיפה המכוננת הערבים מגיעים לישיבת הכנסת הראשונה].""]"
Haifa (Israel) -- Photographs,Post War Refugees -[עולים חדשים בנמל חיפה] [תמונה],Post War Refugees -[עולים חדשים בנמל חיפה] [תמונה],,NNL01,,,image,"1 photograph : b&w, ; 125 X 203 mm..",,003573629,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003573629,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Haifa (Israel) -- Photographs""]","[""[עולים חדשים בנמל חיפה]""]"
Haifa (Israel) -- Photographs,Post War Refugees -[עולים חדשים בנמל חיפה] [תמונה],Post War Refugees -[עולים חדשים בנמל חיפה] [תמונה],,NNL01,,,image,"1 photograph : b&w, ; 180 X 243 mm..",,003573659,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003573659,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Haifa (Israel) -- Photographs""]","[""[עולים חדשים בנמל חיפה]""]"
Haifa (Israel) -- Photographs,Post War Refugees -[עולה חדשה בנמל חיפה] [תמונה],Post War Refugees -[עולה חדשה בנמל חיפה] [תמונה],,NNL01,,,image,"1 photograph : b&w, ; 125 X 203 mm..",,003573664,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003573664,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Haifa (Israel) -- Photographs""]","[""[עולה חדשה בנמל חיפה]""]"
Jerusalem (Israel) -- Photographs,חיים ויצמן ודניאל אוסטר. -[Chaim Weizmann and Daniel Oster] [picture],חיים ויצמן ודניאל אוסטר. -[Chaim Weizmann and Daniel Oster] [picture],,NNL01,"אורון, צבי, 1888-1980 צלם",,image,"1 photograph : b&w, ; 118 X 145 mm..",,003570948,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003570948,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Jerusalem (Israel) -- Photographs""]","[""[Chaim Weizmann and Daniel Oster]""]"
Abu Ghosh (Israel) -- Photographs,הבחירות לאסיפה המכוננת: קלפי באבו גוש.,הבחירות לאסיפה המכוננת: קלפי באבו גוש.,,NNL01,,,image,"1 photograph : b&w, ; 94X137 mm..",,003557806,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003557806,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Abu Ghosh (Israel) -- Photographs""]","[""[Arabs of Abu Ghosh waiting their turn to vote during the elections to the Constituent Assembly, January 1949.]""]"
