description,label,title,publisher,base,the_creator,creation_date,type,format,language,sysnum,related,attribution,subject,alternative_title
הרצאה; חוגים; יהדות; פוליטיקה; פנאי,חוגים להשתלמות ומחזורי הרצאות בשביל חברי המפלגה,חוגים להשתלמות ומחזורי הרצאות בשביל חברי המפלגה,"מפלגת פועלי ארץ ישראל, סניף חיפה",NNL03,,1932,sheet,,heb,700253192,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700253192,[null],"[""הרצאה; חוגים; יהדות; פוליטיקה; פנאי""]",[null]
ירושלים; ארוע בינלאומי; חברה; נשף; תעסוקה; אחד במאי; פועלים,לכבוד חג הפועלים הבין לאומי האחד במאי - נשף,לכבוד חג הפועלים הבין לאומי האחד במאי - נשף,"מפלגת פועלי ארץ ישראל והבחרות הסוציאליסטית העברית בא""י ירושלים",NNL03,,1932,sheet,,heb,700253195,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700253195,[null],"[""ירושלים; ארוע בינלאומי; חברה; נשף; תעסוקה; אחד במאי; פועלים""]",[null]
הרצאה; פוליטיקה,הרצאה על הנושא: שאלות השעה,הרצאה על הנושא: שאלות השעה,"מפלגת פועלי ארץ ישראל, סניף ירושלים",NNL03,,1932,sheet,,heb,700253196,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700253196,[null],"[""הרצאה; פוליטיקה""]",[null]
חיפה; דוד בן גוריון; אסיפה; בחירות; חברה; פוליטיקה,בהשתתפות הח' ד. בן גוריון - אספה כללית של חברי המפלגה,בהשתתפות הח' ד. בן גוריון - אספה כללית של חברי המפלגה,"מפלגת פועלי ארץ ישראל, סניף חיפה",NNL03,,1932,sheet,,heb,700253197,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700253197,[null],"[""חיפה; דוד בן גוריון; אסיפה; בחירות; חברה; פוליטיקה""]",[null]
חיפה; בחירות; פוליטיקה,לכל חברי המפלגה! הבחירות למועצת הסניף,לכל חברי המפלגה! הבחירות למועצת הסניף,"מפלגת פועלי ארץ ישראל, סניף חיפה",NNL03,,1932,sheet,,heb,700253199,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700253199,[null],"[""חיפה; בחירות; פוליטיקה""]",[null]
חיפה; בחירות; ארגון ומנהלה ארגון ומנהלה,לכל חברי המפלגה בחיפה! הבחירות לועידת המפלגה תתקימנה בקלוב המפלגה,לכל חברי המפלגה בחיפה! הבחירות לועידת המפלגה תתקימנה בקלוב המפלגה,"מפלגת פועלי ארץ ישראל, סניף חיפה",NNL03,,1932,sheet,,heb,700253203,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700253203,[null],"[""חיפה; בחירות; ארגון ומנהלה ארגון ומנהלה""]",[null]
ירושלים; דוד בן גוריון; אסיפה; בחירות; פועלים,אספה פומבית לקראת הבחירות לועידת ההסתדרות ולמועצת פועלי ירושלים,אספה פומבית לקראת הבחירות לועידת ההסתדרות ולמועצת פועלי ירושלים,"מפלגת פועלי ארץ ישראל, סניף ירושלים",NNL03,,1932,sheet,,heb,700253205,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700253205,[null],"[""ירושלים; דוד בן גוריון; אסיפה; בחירות; פועלים""]",[null]
תל אביב; דוד בן גוריון; אסיפה; חברה; נאום; ציונות,אספה פומבית - ינאם החבר ד. בן-גוריון,אספה פומבית - ינאם החבר ד. בן-גוריון,"מפלגת פועלי ארץ ישראל, סניף תל-אביב",NNL03,,1932,sheet,,heb,700253206,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700253206,[null],"[""תל אביב; דוד בן גוריון; אסיפה; חברה; נאום; ציונות""]",[null]
ירושלים; אסיפה; בחירות; חברה; פוליטיקה,אספה פומבית לקראת הבחירות לועידת ההסתדרות ולמועצת פועלי ירושלים,אספה פומבית לקראת הבחירות לועידת ההסתדרות ולמועצת פועלי ירושלים,"מפלגת פועלי ארץ ישראל, סניף ירושלים",NNL03,,1932,sheet,,heb,700253207,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700253207,[null],"[""ירושלים; אסיפה; בחירות; חברה; פוליטיקה""]",[null]
ירושלים; אסיפה; פוליטיקה,ח. נ. בזה הנך מוזמן לאספת החברים הכללית,ח. נ. בזה הנך מוזמן לאספת החברים הכללית,"מפלגת פועלי ארץ ישראל, סניף ירושלים",NNL03,,1932,sheet,,heb,700253209,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700253209,[null],"[""ירושלים; אסיפה; פוליטיקה""]",[null]
