description,label,title,publisher,base,the_creator,creation_date,type,format,language,sysnum,related,attribution,subject,alternative_title
,"כתובה. תאזה, מרוקו. תרס""ב.","כתובה. תאזה, מרוקו. תרס""ב.",תאזה,NNL01,,"יא באדר ב תרס""ב (1902)",manuscript,"1 דף ; 360X230 מ""מ..; נייר.",heb,000300557,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300557,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Taza, Morocco. 1902""]"
,"כתובה. איזמיר, טורקיה. תרס""ד","כתובה. איזמיר, טורקיה. תרס""ד",אזמיר,NNL01,,"יג באלול תרס""ד (1904)",manuscript,"1 דף ; 805X580 מ""מ..; נייר.",heb,000300507,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300507,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Izmir, Turkey. 1904""]"
,"כתובה. בוברויסק, בלארוס. תרס""ד","כתובה. בוברויסק, בלארוס. תרס""ד",באברויסק,NNL01,,"טו בשבט תרס""ד (1904)",manuscript,"1 דף ; 260X210 מ""מ..; נייר.",heb,000300798,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300798,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Babruisk, Belarus. 1904""]"
,"כתובה. בוכרה, אוזבקיסטן. תרס""ה.","כתובה. בוכרה, אוזבקיסטן. תרס""ה.",בוכרה,NNL01,,"ג בחשון תרס""ה (1904)",manuscript,"1 דף ; 461X295 מ""מ..; נייר.",heb,000300981,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300981,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Bukhoro, Uzbekistan. 1904""]"
,"כתובה. דבדו, מרוקו. תרס""ה.","כתובה. דבדו, מרוקו. תרס""ה.",דובדו,NNL01,,"ט בכסלו תרס""ה (1904)",manuscript,"1 דף ; 300X200 מ""מ..; נייר.",heb,000300861,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300861,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Debdou, Morocco. 1904""]"
Levirate,"כתובה. ועלאן, תימן. תרס""ד.","כתובה. ועלאן, תימן. תרס""ד.",ועלאן,NNL01,,"ח' באלול ב'רט""ו לשטרות (1904)",manuscript,"1 דף ; 200X165 מ""מ..; נייר.",heb,000300596,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300596,"[""מאוסף הספרייה הלאומית""]","[""Levirate""]","[""Ketubbah. Wahlan, Yemen. 1904""]"
,"כתובה. טשקנט, אוזבקיסטן. תרס""ד.","כתובה. טשקנט, אוזבקיסטן. תרס""ד.",טשקנט,NNL01,,"כד בשבט תרס""ד (1904)",manuscript,"1 דף ; 338X222 מ""מ..; נייר.",rus,000300844,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300844,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Tashkent, Uzbekistan. 1904""]"
,"כתובה. ירושלים, ישראל. תרס""ד","כתובה. ירושלים, ישראל. תרס""ד",ירושלם,NNL01,,"ו באלול תרס""ד (1904)",manuscript,"1 דף ; 385X333 מ""מ..; נייר.",heb,000301475,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000301475,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Jerusalem, Israel. 1904""]"
,"כתובה. ירושלים, ישראל. תרס""ד","כתובה. ירושלים, ישראל. תרס""ד",ירושלם,NNL01,,"ד בסיון תרס""ד (1904)",manuscript,"1 דף ; 475X335 מ""מ..; נייר.",heb,000303064,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000303064,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Jerusalem, Israel. 1904""]"
,"כתובה. משהד, איראן. תרס""ה","כתובה. משהד, איראן. תרס""ה",משהד,NNL01,,"ג בחשון תרס""ה (1904)",manuscript,"1 דף ; 530X310 מ""מ..; נייר.",heb,000301836,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000301836,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Mashhad, Iran. 1904""]"
,"כתובה. פס, מרוקו. תרס""ד.","כתובה. פס, מרוקו. תרס""ד.",פאס,NNL01,,"יז בטבת תרס""ד (1904)",manuscript,"1 דף ; 367X235 מ""מ..; נייר.",heb,000300239,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300239,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Fès, Morocco. 1904""]"
,"כתובה. צפת, ישראל. תרס""ד","כתובה. צפת, ישראל. תרס""ד",צפת,NNL01,,"יז באדר תרס""ד (1904)",manuscript,"1 דף ; 480X340 מ""מ..; נייר.",heb,000300285,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300285,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Tsefat, Israel. 1904""]"
