manifest_label,manifest_sysnum,sequence_id,sequence_label,canvas_id,canvas_label,id,type,motivation,resource_id,resource_type,resource_format,resource_width,resource_height,canvas_width,canvas_height
"כתובה. אמסטרדם, הולנד. תקס""ג.",004071590,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH004071590/sequence/IE53812085,JER NLI 901.1902=8,http://iiif.nli.org.il/IIIFv21/FL53812113,Color,FL53812113,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL53812113/full/max/0/default.jpg,dctypes:Image,image/jpeg;,4818,7084,4818,7084
"כתובה. בוצולו, איטליה. תקס""ב",000300085,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300085/sequence/IE9210937,"[כתובה. בוצולו, איטליה, תקס&quot;ב]",http://iiif.nli.org.il/IIIFv21/FL9470044,ketubba,FL9470044,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9470044/full/max/0/default.jpg,dctypes:Image,image/jpeg;,647,800,647,800
"כתובה. רומא, איטליה. תקס""ב",000301045,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000301045/sequence/IE9197911,"[כתובה. רומא, איטליה, תקס&quot;ב]",http://iiif.nli.org.il/IIIFv21/FL9464187,ketubba,FL9464187,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9464187/full/max/0/default.jpg,dctypes:Image,image/jpeg;,533,800,533,800
"כתובה. אלמסורה, תימן. תקס""ג",000300796,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300796/sequence/IE9207891,"[כתובה. אלמסורה, תימן, תקס&quot;ג]",http://iiif.nli.org.il/IIIFv21/FL9469337,ketubba,FL9469337,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9469337/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,596,800,596
"כתובה. אמסטרדם, הולנד. תקס""ג.",000301359,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000301359/sequence/IE9197645,"[כתובה. אמסטרדם, הולנד, תקס&quot;ג]",http://iiif.nli.org.il/IIIFv21/FL9462337,[כתובה. אמסטרדם; הולנד; תקסג],FL9462337,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9462337/full/max/0/default.jpg,dctypes:Image,image/jpeg;,546,800,546,800
"כתובה. מנטובה, איטליה. תקס""ג",000300095,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300095/sequence/IE9205999,"[כתובה. מנטובה, איטליה, תקס&quot;ג]",http://iiif.nli.org.il/IIIFv21/FL9468398,ketubba,FL9468398,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9468398/full/max/0/default.jpg,dctypes:Image,image/jpeg;,754,800,754,800
"כתובה. מוגדור, מרוקו. תקס""ה.",000300315,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300315/sequence/IE9199299,"[כתובה. מוגדור, מרוקו, תקס&quot;ה]",http://iiif.nli.org.il/IIIFv21/FL9462304,[כתובה. מוגדור; מרוקו; תקסה],FL9462304,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9462304/full/max/0/default.jpg,dctypes:Image,image/jpeg;,478,800,478,800
"כתובה. פזרו, איטליה. תקס""ה.",000300645,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300645/sequence/IE9206869,"[כתובה. פיסארו, איטליה, תקס&quot;ה]",http://iiif.nli.org.il/IIIFv21/FL9470529,ketubba,FL9470529,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9470529/full/max/0/default.jpg,dctypes:Image,image/jpeg;,540,800,540,800
"כתובה. פררה, איטליה. תקס""ה",000300107,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300107/sequence/IE9198026,"[כתובה. פררה, איטליה, תקס&quot;ה]",http://iiif.nli.org.il/IIIFv21/FL9462116,ketubba,FL9462116,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9462116/full/max/0/default.jpg,dctypes:Image,image/jpeg;,717,800,717,800
"כתובה. צ'נטו, איטליה. תקס""ה",000300062,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300062/sequence/IE9198391,"[כתובה. צנטו, איטליה, תקס&quot;ה]",http://iiif.nli.org.il/IIIFv21/FL9462548,ketubba,FL9462548,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9462548/full/max/0/default.jpg,dctypes:Image,image/jpeg;,692,800,692,800
"כתובה. בוסטו, איטליה. תקס""ה",000300064,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300064/sequence/IE9202765,"[כתובה. בוסטו, איטליה, תקס&quot;ה]",http://iiif.nli.org.il/IIIFv21/FL9464832,ketubba,FL9464832,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9464832/full/max/0/default.jpg,dctypes:Image,image/jpeg;,760,800,760,800
"כתובה. טריאסטה, איטליה. תקס""ה.",000300623,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300623/sequence/IE9201571,"[כתובה. טריאסטה, איטליה, תקס&quot;ה]",http://iiif.nli.org.il/IIIFv21/FL9465095,ketubba,FL9465095,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9465095/full/max/0/default.jpg,dctypes:Image,image/jpeg;,603,800,603,800
"כתובה. לבוב, אוקראינה. תקס""ה.",000300252,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300252/sequence/IE9207299,"[כתובה. לבוב, אוקראינה, תקס&quot;ה]",http://iiif.nli.org.il/IIIFv21/FL9470671,ketubba,FL9470671,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9470671/full/max/0/default.jpg,dctypes:Image,image/jpeg;,541,800,541,800
"כתובה. מנטובה, איטליה. תקס""ו",000300094,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300094/sequence/IE9210637,"[כתובה. מנטובה, איטליה, תקס&quot;ו]",http://iiif.nli.org.il/IIIFv21/FL9469615,ketubba,FL9469615,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9469615/full/max/0/default.jpg,dctypes:Image,image/jpeg;,657,800,657,800
"כתובה. סיג'ילמסה, מרוקו. תקס""ה.",003951833,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH003951833/sequence/IE46073112,JER NLI 901.1819=8,http://iiif.nli.org.il/IIIFv21/FL46073124,Fol. 001r,FL46073124,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL46073124/full/max/0/default.jpg,dctypes:Image,image/jpeg;,4858,7118,4858,7118
"כתובה. סיג'ילמסה, מרוקו. תקס""ה.",003951833,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH003951833/sequence/IE46073112,JER NLI 901.1819=8,http://iiif.nli.org.il/IIIFv21/FL46073125,Fol. 001v,FL46073125,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL46073125/full/max/0/default.jpg,dctypes:Image,image/jpeg;,4858,7118,4858,7118
"כתובה. סיג'ילמסה, מרוקו. תקס""ה.",003951833,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH003951833/sequence/IE46073112,JER NLI 901.1819=8,http://iiif.nli.org.il/IIIFv21/FL46073128,Color,FL46073128,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL46073128/full/max/0/default.jpg,dctypes:Image,image/jpeg;,4839,7382,4839,7382
"כתובה. פררה, איטליה. תקס""ה",000300989,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300989/sequence/IE9204509,"[כתובה. פררה, איטליה, תקס&quot;ה]",http://iiif.nli.org.il/IIIFv21/FL9469672,[כתובה. פררה; איטליה; תקסה],FL9469672,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9469672/full/max/0/default.jpg,dctypes:Image,image/jpeg;,626,800,626,800
"כתובה. רומא, איטליה. תקס""ה.",000301044,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000301044/sequence/IE9201526,"[כתובה. רומא, איטליה, תקס&quot;ה]",http://iiif.nli.org.il/IIIFv21/FL9464741,ketubba,FL9464741,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9464741/full/max/0/default.jpg,dctypes:Image,image/jpeg;,536,800,536,800
"פדיון בכור (חלק א) : ""הכולל שאלות ותשובות ועניינים שהתחלתי לעשות מקטנותי ... באיזה דינים ועמהם גם כן איזה כתבים שמצאתי ... נוסחי כתובות ושטרות וזכרוני עדות והפרט מעשים שאירעו לי בענייני ספר תורה ... וקראתי שמם בשם פדיון בכור להיותי פטר רחם ... בשנת התקס""ה ליצירה"".",000074118,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000074118/sequence/IE49759467,פדיון בכור (חלק א) :,http://iiif.nli.org.il/IIIFv21/FL49762416,Page 1,FL49762416,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL49762416/full/max/0/default.jpg,dctypes:Image,image/jpeg;,8950,5175,8950,5175
"פדיון בכור (חלק א) : ""הכולל שאלות ותשובות ועניינים שהתחלתי לעשות מקטנותי ... באיזה דינים ועמהם גם כן איזה כתבים שמצאתי ... נוסחי כתובות ושטרות וזכרוני עדות והפרט מעשים שאירעו לי בענייני ספר תורה ... וקראתי שמם בשם פדיון בכור להיותי פטר רחם ... בשנת התקס""ה ליצירה"".",000074118,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000074118/sequence/IE49759467,פדיון בכור (חלק א) :,http://iiif.nli.org.il/IIIFv21/FL49762421,Page 2,FL49762421,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL49762421/full/max/0/default.jpg,dctypes:Image,image/jpeg;,7280,4912,7280,4912
"פדיון בכור (חלק א) : ""הכולל שאלות ותשובות ועניינים שהתחלתי לעשות מקטנותי ... באיזה דינים ועמהם גם כן איזה כתבים שמצאתי ... נוסחי כתובות ושטרות וזכרוני עדות והפרט מעשים שאירעו לי בענייני ספר תורה ... וקראתי שמם בשם פדיון בכור להיותי פטר רחם ... בשנת התקס""ה ליצירה"".",000074118,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000074118/sequence/IE49759467,פדיון בכור (חלק א) :,http://iiif.nli.org.il/IIIFv21/FL49762424,Page 3,FL49762424,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL49762424/full/max/0/default.jpg,dctypes:Image,image/jpeg;,7344,4880,7344,4880
"פדיון בכור (חלק א) : ""הכולל שאלות ותשובות ועניינים שהתחלתי לעשות מקטנותי ... באיזה דינים ועמהם גם כן איזה כתבים שמצאתי ... נוסחי כתובות ושטרות וזכרוני עדות והפרט מעשים שאירעו לי בענייני ספר תורה ... וקראתי שמם בשם פדיון בכור להיותי פטר רחם ... בשנת התקס""ה ליצירה"".",000074118,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000074118/sequence/IE49759467,פדיון בכור (חלק א) :,http://iiif.nli.org.il/IIIFv21/FL49762429,Page 4,FL49762429,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL49762429/full/max/0/default.jpg,dctypes:Image,image/jpeg;,7344,4880,7344,4880
"פדיון בכור (חלק א) : ""הכולל שאלות ותשובות ועניינים שהתחלתי לעשות מקטנותי ... באיזה דינים ועמהם גם כן איזה כתבים שמצאתי ... נוסחי כתובות ושטרות וזכרוני עדות והפרט מעשים שאירעו לי בענייני ספר תורה ... וקראתי שמם בשם פדיון בכור להיותי פטר רחם ... בשנת התקס""ה ליצירה"".",000074118,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000074118/sequence/IE49759467,פדיון בכור (חלק א) :,http://iiif.nli.org.il/IIIFv21/FL49762437,Page 5,FL49762437,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL49762437/full/max/0/default.jpg,dctypes:Image,image/jpeg;,7328,4896,7328,4896
"פדיון בכור (חלק א) : ""הכולל שאלות ותשובות ועניינים שהתחלתי לעשות מקטנותי ... באיזה דינים ועמהם גם כן איזה כתבים שמצאתי ... נוסחי כתובות ושטרות וזכרוני עדות והפרט מעשים שאירעו לי בענייני ספר תורה ... וקראתי שמם בשם פדיון בכור להיותי פטר רחם ... בשנת התקס""ה ליצירה"".",000074118,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000074118/sequence/IE49759467,פדיון בכור (חלק א) :,http://iiif.nli.org.il/IIIFv21/FL49762445,Page 6,FL49762445,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL49762445/full/max/0/default.jpg,dctypes:Image,image/jpeg;,7344,4880,7344,4880
"פדיון בכור (חלק א) : ""הכולל שאלות ותשובות ועניינים שהתחלתי לעשות מקטנותי ... באיזה דינים ועמהם גם כן איזה כתבים שמצאתי ... נוסחי כתובות ושטרות וזכרוני עדות והפרט מעשים שאירעו לי בענייני ספר תורה ... וקראתי שמם בשם פדיון בכור להיותי פטר רחם ... בשנת התקס""ה ליצירה"".",000074118,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000074118/sequence/IE49759467,פדיון בכור (חלק א) :,http://iiif.nli.org.il/IIIFv21/FL49762452,Page 7,FL49762452,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL49762452/full/max/0/default.jpg,dctypes:Image,image/jpeg;,7344,4896,7344,4896
